Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Luka Šamanić,PF,21,SAS,11,1,9.5,1.4,3.2,.429,0.7,1.9,.381,0.6,1.3,.500,.543,0.4,0.7,.500,0.5,2.2,2.7,0.2,0.3,0.2,0.5,0.9,3.8
JaKarr Sampson,PF,27,IND,15,0,6.5,1.0,2.1,.469,0.1,0.3,.200,0.9,1.8,.519,.484,0.5,0.7,.800,0.5,1.4,1.9,0.1,0.1,0.2,0.4,0.7,2.6
Dario Šarić,C,26,PHO,19,0,18.8,4.2,8.5,.497,1.4,3.5,.388,2.8,4.9,.574,.578,1.9,2.2,.902,0.8,3.3,4.1,1.3,0.7,0.2,1.3,2.2,11.7
Tomáš Satoranský,SG,29,CHI,25,0,20.7,2.5,4.8,.521,0.8,1.8,.432,1.8,3.1,.571,.599,1.2,1.3,.909,0.3,2.2,2.5,4.4,0.5,0.2,1.5,1.1,7.0
Dennis Schröder,SG,27,LAL,34,34,31.3,5.2,11.9,.436,1.0,3.1,.318,4.2,8.7,.478,.478,3.4,4.2,.824,0.5,3.0,3.5,4.5,1.0,0.3,2.4,2.7,14.8
Mike Scott,PF,32,PHI,19,4,17.8,1.6,3.7,.423,1.2,2.9,.400,0.4,0.8,.500,.577,0.1,0.3,.400,0.2,2.5,2.7,0.4,0.5,0.1,0.6,0.9,4.4
Collin Sexton,SG,22,CLE,32,32,36.2,8.8,18.2,.484,1.6,4.2,.391,7.2,14.0,.511,.528,4.8,5.9,.809,0.7,1.9,2.6,4.3,1.2,0.1,2.8,2.8,23.9
Landry Shamet,SG,23,BRK,35,0,20.1,2.7,6.7,.402,1.9,5.0,.385,0.8,1.7,.450,.545,1.0,1.2,.854,0.2,1.7,1.9,1.1,0.4,0.1,0.7,1.3,8.3
Iman Shumpert,SG,30,BRK,2,0,5.5,0.5,2.0,.250,0.0,1.5,.000,0.5,0.5,1.000,.250,0.0,0.0,,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,1.0
Pascal Siakam,PF,26,TOR,30,30,35.8,7.4,16.3,.453,1.2,4.1,.295,6.2,12.3,.505,.490,4.1,5.0,.819,1.9,5.5,7.5,4.8,1.2,0.7,2.2,3.1,20.1
Chris Silva,PF,24,MIA,8,0,9.4,1.0,1.4,.727,0.1,0.1,1.000,0.9,1.3,.700,.773,1.4,1.9,.733,0.9,2.3,3.1,0.8,0.1,0.6,1.1,2.1,3.5
Ben Simmons,PG,24,PHI,31,31,33.9,6.2,10.7,.578,0.1,0.2,.286,6.1,10.5,.585,.581,3.6,5.4,.671,1.7,6.2,7.9,7.6,1.6,0.7,3.4,3.1,16.1
Anfernee Simons,SG,21,POR,34,0,16.9,2.8,7.0,.397,2.0,4.9,.411,0.7,2.0,.362,.542,0.6,0.8,.846,0.2,2.2,2.4,1.4,0.2,0.1,0.8,1.8,8.2
Deividas Sirvydis,SG,20,DET,5,0,1.6,0.0,0.6,.000,0.0,0.6,.000,0.0,0.0,,.000,0.2,0.4,.500,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2
Marcus Smart,PG,26,BOS,18,17,31.7,4.3,10.8,.402,1.7,5.3,.326,2.6,5.5,.475,.482,3.0,3.9,.761,0.5,2.2,2.7,5.8,1.7,0.6,1.7,2.4,13.4
Dennis Smith Jr.,PG,23,TOT,16,7,18.6,2.8,7.3,.379,1.0,3.1,.327,1.8,4.2,.418,.448,0.7,0.9,.786,0.7,2.0,2.7,3.2,1.1,0.6,1.1,1.6,7.2
Ish Smith,PG,32,WAS,19,1,20.6,2.3,6.1,.379,0.3,1.1,.250,2.1,5.1,.406,.401,0.3,0.8,.400,0.5,2.9,3.5,4.7,0.8,0.2,1.0,0.9,5.2
Jalen Smith,PF,20,PHO,11,0,5.2,0.6,1.7,.368,0.2,0.7,.250,0.5,1.0,.455,.421,0.0,0.2,.000,0.5,0.5,1.0,0.2,0.0,0.2,0.1,0.4,1.5
Tony Snell,SG,29,ATL,25,8,18.9,1.8,3.7,.500,1.5,2.6,.569,0.4,1.1,.333,.701,0.1,0.1,1.000,0.4,1.7,2.2,1.2,0.1,0.3,0.5,1.4,5.2
Ray Spalding,C,23,HOU,2,0,9.5,1.0,2.0,.500,0.0,0.5,.000,1.0,1.5,.667,.500,0.0,1.0,.000,1.0,1.0,2.0,0.0,0.0,1.0,1.5,1.5,2.0
Cassius Stanley,SG,21,IND,8,0,2.9,0.3,0.9,.286,0.1,0.3,.500,0.1,0.6,.200,.357,0.5,0.6,.800,0.3,0.1,0.4,0.0,0.0,0.3,0.1,0.9,1.1
